,NSE
01022500,0.7240528906084417
01031500,0.5946521217929424
01047000,0.45250911271853833
01052500,0.6169390730601598
01054200,0.2936285980745158
01055000,0.3592841944142232
01057000,0.5728940679026948
01078000,0.6177352334819068
01137500,0.3608975195344172
01139000,0.6051071713166989
01144000,0.6008039326655648
01169000,0.533476627841307
01170100,0.6063828902275186
01181000,0.5415587667195698
01333000,0.4965419227777046
01350000,0.561775636046834
01365000,0.6174589198078908
01413500,0.6837569370771458
01423000,0.6686372282474979
01435000,0.5264777076283477
01439500,0.652891622567956
01440000,0.6021567058846242
01440400,0.5981863189864083
01451800,0.38946510864765094
01487000,0.4219340640336071
01491000,0.5763080682928794
01510000,0.6080688232851977
01518862,0.46353038814218606
01532000,0.4180407183186561
01539000,0.6418493213388785
01543000,0.5872708169942021
01543500,0.6025781610816124
01544500,0.5639505911256536
01545600,0.5935972379240408
01547700,0.5913753081422347
01548500,0.5152494094242797
01550000,0.5867114232959798
01557500,0.591776178263764
01568000,0.4874222099285066
01580000,0.16074015813845577
01583500,0.14001502436316593
01596500,0.5714676108210237
01632900,0.10355938928016595
01634500,0.31508095660967517
01638480,0.11817147465114908
01639500,0.29283671688742907
01644000,0.2384264170904704
01664000,0.35485628695481475
01666500,0.13814460283430907
01667500,0.1965525893359349
01669520,0.2551072946656122
02011400,0.16890186442984645
02013000,0.403039284063863
02014000,0.41540330275369186
02016000,0.5415505286226492
02017500,0.5788363665680643
02018000,0.7055346945792288
02027500,0.19468866763660275
02046000,0.05018783138211791
02051500,0.29319257175493785
02053200,0.3189315024927577
02053800,0.27917455968016125
02056900,0.15988927323629154
02059500,0.13250868026998297
02064000,-0.05150312751589903
02065500,0.010582291760356743
02069700,-0.3867453567992496
02070000,-0.20098278067020092
02074500,-0.009106574164891246
02077200,-0.48396292110627614
02081500,0.1894997028685611
02082950,-0.17850173881563935
02092500,0.015205276791261935
02108000,0.43824929165785087
02111180,0.2695853328996517
02111500,-1.1308247043712218
02112120,-0.12250861687753423
02112360,-0.7050192980079153
02118500,-0.18014802348414327
02125000,-0.009667493429232454
02128000,-0.03485927411809264
02137727,-0.009563019029809716
02140991,0.20383492608866716
02143000,0.007199031116173149
02149000,-0.21334243511586748
02152100,-0.07755355899786598
02177000,0.22443168988859652
02178400,0.20841188566617352
02196000,0.2423637228834703
02202600,0.12516155187945976
02215100,0.2972708071842891
02216180,0.2611977629041702
02221525,-0.28483144595585297
02245500,0.0013614281108079718
02246000,0.02311586514922237
02298608,0.22544955852484505
02299950,0.21297649098236393
02349900,0.1816476029347308
02350900,0.522020046537778
02472000,0.3593272147239098
02472500,0.4607977163236233
02479155,0.2605700511093477
02479300,0.46772222548617515
02481000,0.3953946387080962
02481510,0.3978733294397798
