,NSE
01022500,0.4623003666374592
01031500,0.4822752117885287
01047000,0.3599249485192252
01052500,0.473798235950583
01054200,0.20972693423439748
01055000,0.2724779743024529
01057000,0.37224403881445356
01078000,0.5871727181063406
01137500,0.3163783884204524
01139000,0.410054866390249
01144000,0.5636730666018248
01169000,0.39949585638877694
01170100,0.48545071926470584
01181000,0.435195903690504
01333000,0.537174599805552
01350000,0.43665180360847944
01365000,0.35599885127043107
01413500,0.49935716184286405
01423000,0.5722209440020425
01435000,0.3598898609224307
01439500,0.5157803393325816
01440000,0.4470879307768213
01440400,0.41372122110509557
01451800,0.1770100183846406
01487000,0.08427460209062643
01491000,0.30438506951450084
01510000,0.47308366381348765
01518862,0.46044888643996873
01532000,0.38926812908917807
01539000,0.5208369975625982
01543000,0.45139156459729657
01543500,0.5456183557692474
01544500,0.39354375814156917
01545600,0.4934404693520936
01547700,0.3638364767459201
01548500,0.5261762760834117
01550000,0.4575834743802535
01557500,0.4062507957322503
01568000,0.3744620518384624
01580000,0.043717978338258745
01583500,0.13228399338145602
01596500,0.4843995695031763
01632900,0.28422446710332483
01634500,0.24932898255696867
01638480,0.17005702243805765
01639500,0.21243684792298978
01644000,0.18278847222278727
01664000,0.09206095710815276
01666500,-0.042126074708525696
01667500,0.040805007559022166
01669520,0.2422082356172509
02011400,0.44399016815443615
02013000,0.31259807907805714
02014000,0.43599314464273364
02016000,0.3237796010066132
02017500,0.24711552611244314
02018000,0.31770038799217803
02027500,0.014688854893061154
02046000,0.26960638385645197
02051500,0.2968388385549908
02053200,0.1200057355218681
02053800,0.09541190121725385
02056900,0.05571354795695116
02059500,0.09895076869676622
02064000,0.08459152556762306
02065500,0.1938730812928947
02069700,-0.13155153721435542
02070000,0.0015479502700324055
02074500,0.05056384106702305
02077200,0.1254464573359121
02081500,0.1695491755690931
02082950,0.3769140905952837
02092500,0.13863064877155895
02108000,0.23745313441063143
02111180,0.1724491841956889
02111500,-0.06772925395111229
02112120,-0.039769004590890944
02112360,-0.16911961793690944
02118500,0.053683896058467684
02125000,0.0592788228802561
02128000,0.08774894025782354
02137727,-0.21227070425904038
02140991,0.2783362566029094
02143000,0.05396986094555434
02149000,-0.31907926795974495
02152100,0.13759934238238603
02177000,-0.3887123588593595
02178400,-0.16947845869290057
02196000,0.1629752328191143
02202600,-0.002981808509364914
02215100,0.14648348771043318
02216180,0.15353829457138035
02221525,0.1698023796548631
02245500,0.15411558284645632
02246000,0.09120671193494767
02298608,0.07426696247484132
02299950,0.0690418850490615
02349900,0.16842739917942628
02350900,0.09783156439975482
02472000,0.08607104062226756
02472500,0.07834172296560582
02479155,0.022230984296140566
02479300,0.17683076642758722
02481000,0.1129466057740578
02481510,0.1763684584625792
03170000,0.006342447083180991
03173000,0.22566864949269316
03237500,0.2851865379819225
03238500,0.14601576153639173
03280700,0.27881791154596325
03281500,0.5114419371714334
03285000,0.3879918097981463
03338780,-0.09159702522974644
03340800,-0.011598681608683714
03346000,0.11089914325103378
03364500,0.1279348208943003
03366500,0.18428175396774749
03384450,0.1574332011296553
03439000,-0.4061356980969757
03456500,-0.09770958579754874
03460000,-0.14464928013205647
03463300,-0.08205925297636418
03471500,0.26716082382575357
03473000,0.364258665530517
03479000,0.2408601497522186
03488000,0.33700432854232676
03498500,0.13140782706507304
03500000,-0.2655776290637357
03500240,-0.08797203417429911
03504000,0.024542940372198174
03604000,0.21456821788457903
04024430,0.20346291175892905
04027000,0.09043672832466843
04040500,0.04369443901016379
04045500,0.3757213472024187
04057510,0.07363828322876231
04057800,0.24751084920650923
04059500,0.21856060158975932
04063700,0.0887422825246359
04074950,-0.6023642149454034
04105700,-1.3736943259493364
04122200,-1.051350008939961
04122500,-0.8041665314122748
04127918,0.19985360681069553
04185000,0.11051786834299826
04196800,0.07734315128718605
04197100,0.1311374673632365
04213000,0.4424539988792794
04216418,0.31940213768839976
04221000,0.5417492620042277
04224775,0.4666590642255346
04256000,0.42566612604987697
04296000,0.4677998441698079
05362000,0.33916241136600955
