Basin ID: 02053800, NSE losses: [0.4199310541152954], mean NSE losses: 0.4199310541152954
Basin ID: 02056900, NSE losses: [0.2581879496574402], mean NSE losses: 0.2581879496574402
Basin ID: 02059500, NSE losses: [0.3340865969657898], mean NSE losses: 0.3340865969657898
Basin ID: 02064000, NSE losses: [0.3706328868865967], mean NSE losses: 0.3706328868865967
Basin ID: 02065500, NSE losses: [0.37675750255584717], mean NSE losses: 0.37675750255584717
Basin ID: 02069700, NSE losses: [-0.4309035539627075], mean NSE losses: -0.4309035539627075
Basin ID: 02070000, NSE losses: [0.0029775500297546387], mean NSE losses: 0.0029775500297546387
Basin ID: 02074500, NSE losses: [0.2790048122406006], mean NSE losses: 0.2790048122406006
Basin ID: 02077200, NSE losses: [0.23564517498016357], mean NSE losses: 0.23564517498016357
Basin ID: 02081500, NSE losses: [0.507845401763916], mean NSE losses: 0.507845401763916
Basin ID: 02082950, NSE losses: [0.383461594581604], mean NSE losses: 0.383461594581604
Basin ID: 02092500, NSE losses: [0.15808039903640747], mean NSE losses: 0.15808039903640747
Basin ID: 02108000, NSE losses: [0.1784772276878357], mean NSE losses: 0.1784772276878357
Basin ID: 02111180, NSE losses: [0.2171308994293213], mean NSE losses: 0.2171308994293213
Basin ID: 02111500, NSE losses: [-0.7062280178070068], mean NSE losses: -0.7062280178070068
Basin ID: 02112120, NSE losses: [-0.42307066917419434], mean NSE losses: -0.42307066917419434
Basin ID: 02112360, NSE losses: [-0.6905115842819214], mean NSE losses: -0.6905115842819214
Basin ID: 02118500, NSE losses: [0.18750834465026855], mean NSE losses: 0.18750834465026855
Basin ID: 02125000, NSE losses: [0.274333655834198], mean NSE losses: 0.274333655834198
Basin ID: 02128000, NSE losses: [0.2529410719871521], mean NSE losses: 0.2529410719871521
Basin ID: 02137727, NSE losses: [0.23580020666122437], mean NSE losses: 0.23580020666122437
Basin ID: 02140991, NSE losses: [0.22333794832229614], mean NSE losses: 0.22333794832229614
Basin ID: 02143000, NSE losses: [0.34640729427337646], mean NSE losses: 0.34640729427337646
Basin ID: 02149000, NSE losses: [-0.573288083076477], mean NSE losses: -0.573288083076477
Basin ID: 02152100, NSE losses: [-0.17001473903656006], mean NSE losses: -0.17001473903656006
Basin ID: 02177000, NSE losses: [-0.14844071865081787], mean NSE losses: -0.14844071865081787
Basin ID: 02178400, NSE losses: [0.13287729024887085], mean NSE losses: 0.13287729024887085
Basin ID: 02196000, NSE losses: [0.4596320390701294], mean NSE losses: 0.4596320390701294
Basin ID: 02202600, NSE losses: [0.1955171823501587], mean NSE losses: 0.1955171823501587
Basin ID: 02212600, NSE losses: [0.41064202785491943], mean NSE losses: 0.41064202785491943
Basin ID: 02215100, NSE losses: [0.2499108910560608], mean NSE losses: 0.2499108910560608
Basin ID: 02216180, NSE losses: [0.262276828289032], mean NSE losses: 0.262276828289032
Basin ID: 02221525, NSE losses: [0.3681609630584717], mean NSE losses: 0.3681609630584717
Basin ID: 02231000, NSE losses: [0.2078431248664856], mean NSE losses: 0.2078431248664856
Basin ID: 02231342, NSE losses: [0.13102281093597412], mean NSE losses: 0.13102281093597412
Basin ID: 02235200, NSE losses: [-2.2311038970947266], mean NSE losses: -2.2311038970947266
Basin ID: 02245500, NSE losses: [0.3382713198661804], mean NSE losses: 0.3382713198661804
Basin ID: 02246000, NSE losses: [0.25199300050735474], mean NSE losses: 0.25199300050735474
Basin ID: 02296500, NSE losses: [-0.036513686180114746], mean NSE losses: -0.036513686180114746
Basin ID: 02297310, NSE losses: [0.2038888931274414], mean NSE losses: 0.2038888931274414
Basin ID: 02298123, NSE losses: [0.2660488486289978], mean NSE losses: 0.2660488486289978
Basin ID: 02298608, NSE losses: [0.2664133310317993], mean NSE losses: 0.2664133310317993
Basin ID: 02299950, NSE losses: [0.2578542232513428], mean NSE losses: 0.2578542232513428
Basin ID: 02310947, NSE losses: [-0.5197505950927734], mean NSE losses: -0.5197505950927734
Basin ID: 02312200, NSE losses: [-0.2535742521286011], mean NSE losses: -0.2535742521286011
Basin ID: 02324400, NSE losses: [-0.24064123630523682], mean NSE losses: -0.24064123630523682
Basin ID: 02327100, NSE losses: [0.20959359407424927], mean NSE losses: 0.20959359407424927
Basin ID: 02342933, NSE losses: [0.21354800462722778], mean NSE losses: 0.21354800462722778
